Nome,Data Fab,Data Val,Quant,MDD
12011003-CAFE TM SC CLAS CAP ALM 20X250G,09-08-2023,08-08-2024,"5.601,00",000
12011006-CAFE TM SC CLAS CAP ALM 10X500G,30-01-2024,29-01-2025,71400,1083
12011013-CAFE TM SC PREM VAC 20X250G,10-01-2024,10-07-2025,"2.209,00",2317
12011014-CAFE TM SC CLAS VAC 20X250G,15-12-2023,14-06-2025,700,73448
12011014-CAFE TM SC CLAS VAC 20X250G,20-12-2023,19-06-2025,42100,73448
12011014-CAFE TM SC CLAS VAC 20X250G,18-01-2024,18-07-2025,"5.460,00",73448
12011014-CAFE TM SC CLAS VAC 20X250G,02-02-2024,02-08-2025,"50.400,00",73448
12011014-CAFE TM SC CLAS VAC 20X250G,03-02-2024,03-08-2025,"10.320,00",73448
12011017-CAFE TM SC PREM SPACK 20X250G,25-09-2023,24-09-2024,"1.324,00",1045
12011020-CAFE TM SC DECAF VAC 20X250G,09-11-2023,09-05-2025,"3.360,00",8154
12011020-CAFE TM SC DECAF VAC 20X250G,22-11-2023,22-05-2025,"3.360,00",8154
12011020-CAFE TM SC DECAF VAC 20X250G,23-12-2023,22-06-2025,6600,8154
12011027-CAFE TM SC PREM SPACK 10X500G,12-09-2023,11-09-2024,"5.114,00",2063
12011040-CAFE TM SC RES FAM MOG PAUL VAC 20X250G,28-09-2023,28-03-2025,33100,150
12011041-CAFE TM SC RES FAM CERR MIN VAC 20X250G,27-07-2023,24-01-2025,900,700
12011042-CAFE TM SC RES FAM SUL M VAC 20X250G,07-09-2023,07-03-2025,93500,767
12011043-CAFE TM SC RES FAM ORGANICO VAC 20X250G,24-11-2023,24-05-2025,"2.075,00",1369
12011052-CAFE TM SC CLAS BRIL SPACK 10X500G,08-12-2023,07-12-2024,100,"3.381,70"
12011052-CAFE TM SC CLAS BRIL SPACK 10X500G,20-01-2024,19-01-2025,100,"3.381,70"
12011052-CAFE TM SC CLAS BRIL SPACK 10X500G,21-01-2024,20-01-2025,"23.696,00","3.381,70"
12011052-CAFE TM SC CLAS BRIL SPACK 10X500G,06-02-2024,05-02-2025,"29.920,00","3.381,70"
12011052-CAFE TM SC CLAS BRIL SPACK 10X500G,14-02-2024,13-02-2025,"11.440,00","3.381,70"
12011058-CAFE TM SC RES FAM CERR MIN 4S 20X250G,21-10-2023,20-08-2024,2800,028
12011059-CAFE TM SC RES FAM ORGANICO 4S 20X250G,31-08-2023,30-06-2024,38700,060
12011060-CAFE TM SC RES FAM SUL M 4S 20X250G,09-01-2024,08-11-2024,100,042
12011061-CAFE TM SC RES FAM MOG PAUL 4S 20X250G,09-10-2023,08-08-2024,"1.120,00",000
12011061-CAFE TM SC RES FAM MOG PAUL 4S 20X250G,24-11-2023,23-09-2024,6000,000
12011063-CAFE TM SC CLAS VAC 20X500G,20-10-2023,19-04-2025,62900,11810
12011063-CAFE TM SC CLAS VAC 20X500G,13-12-2023,12-06-2025,"1.620,00",11810
12011063-CAFE TM SC CLAS VAC 20X500G,17-01-2024,17-07-2025,"1.620,00",11810
12011064-CAFE TM SC PREM VAC 20X500G,20-10-2023,19-04-2025,55000,7140
12011064-CAFE TM SC PREM VAC 20X500G,08-02-2024,08-08-2025,"16.200,00",7140
12011067-CAFE DRIP SC CLAS 12X10X10G,14-07-2023,11-01-2025,"3.580,00",049
12011068-CAFE TM SC EF VAC 20X250G,21-12-2023,20-06-2025,"4.975,00",16206
12011068-CAFE TM SC EF VAC 20X250G,24-01-2024,24-07-2025,"2.240,00",16206
12011068-CAFE TM SC EF VAC 20X250G,31-01-2024,31-07-2025,2000,16206
12011068-CAFE TM SC EF VAC 20X250G,06-02-2024,06-08-2025,"16.800,00",16206
12011073-CAFE TM SC GOUR CHAP DIAM 4S 20X250G,22-09-2023,22-07-2024,9600,037
12011074-CAFE TM SC GOUR REG VULCAN 4S 20X250G,21-09-2023,21-07-2024,38600,202
